"artist","track_title","line","lyric","element","element_artist"
"Daddy Yankee","King Daddy",1,NA,"Letra de ""King Daddy""","Daddy Yankee"
"Daddy Yankee","King Daddy",2,"Ooh!","Intro","Daddy Yankee"
"Daddy Yankee","King Daddy",3,"Da-ddy!","Intro","Daddy Yankee"
"Daddy Yankee","King Daddy",4,"Da-ddy!","Intro","Daddy Yankee"
"Daddy Yankee","King Daddy",5,"Quiere mambo, azotalo","Coro","Daddy Yankee"
"Daddy Yankee","King Daddy",6,"Quiere mambo, agarralo","Coro","Daddy Yankee"
"Daddy Yankee","King Daddy",7,"Quiere mambo, suenalo","Coro","Daddy Yankee"
"Daddy Yankee","King Daddy",8,"Da-ddy!","Coro","Daddy Yankee"
"Daddy Yankee","King Daddy",9,"Quiere mambo, azotalo","Coro","Daddy Yankee"
"Daddy Yankee","King Daddy",10,"Quiere mambo, agarralo","Coro","Daddy Yankee"
"Daddy Yankee","King Daddy",11,"Quiere mambo, sueltalo","Coro","Daddy Yankee"
"Daddy Yankee","King Daddy",12,"Da-ddy!","Coro","Daddy Yankee"
"Daddy Yankee","King Daddy",13,"Pegajoso, peligroso","Post-Coro","Daddy Yankee"
"Daddy Yankee","King Daddy",14,"Suena un capo con el corte 'e mafioso","Post-Coro","Daddy Yankee"
"Daddy Yankee","King Daddy",15,"Mis soldados con grito guerilloso (Come on!)","Post-Coro","Daddy Yankee"
"Daddy Yankee","King Daddy",16,"Ooh!","Post-Coro","Daddy Yankee"
"Daddy Yankee","King Daddy",17,"En prueba de fuego en la calle me suelo crecer","Verso 1","Daddy Yankee"
"Daddy Yankee","King Daddy",18,"De niño en el barrio se aprende a no retroceder","Verso 1","Daddy Yankee"
"Daddy Yankee","King Daddy",19,"Voy safa'o con tu cuento","Verso 1","Daddy Yankee"
"Daddy Yankee","King Daddy",20,"No cojas el sereno de mi nuevo amanecer","Verso 1","Daddy Yankee"
"Daddy Yankee","King Daddy",21,"Tú quieres ser como yo ahora","Verso 1","Daddy Yankee"
"Daddy Yankee","King Daddy",22,"Pero LeBron James nunca va a hacer lo que hizo Jordan","Verso 1","Daddy Yankee"
"Daddy Yankee","King Daddy",23,"El shooting guard del reggaeton, nadie tira mejor que yo","Verso 1","Daddy Yankee"
"Daddy Yankee","King Daddy",24,"Dribiando el flow, y aquí se despliega","Verso 1","Daddy Yankee"
"Daddy Yankee","King Daddy",25,"Sicarios me acusan por robarme el show","Verso 1","Daddy Yankee"
"Daddy Yankee","King Daddy",26,"Productores, raperos con ego de estrellas lo niegan","Verso 1","Daddy Yankee"
"Daddy Yankee","King Daddy",27,"Otras gentes va en camino a ciega","Verso 1","Daddy Yankee"
"Daddy Yankee","King Daddy",28,"Y el matador es D-A-Doble D-Y","Verso 1","Daddy Yankee"
"Daddy Yankee","King Daddy",29,"That's me","Skit 1","Daddy Yankee"
"Daddy Yankee","King Daddy",30,"Los numeros hablan por si solos","Skit 1","Daddy Yankee"
"Daddy Yankee","King Daddy",31,"Conteo regresivo (Come on!)","Skit 1","Daddy Yankee"
"Daddy Yankee","King Daddy",32,"Tres, dos, uno, ¡trrra!","Skit 1","Daddy Yankee"
"Daddy Yankee","King Daddy",33,"Quiere mambo, azotalo","Coro","Daddy Yankee"
"Daddy Yankee","King Daddy",34,"Quiere mambo, agarralo","Coro","Daddy Yankee"
"Daddy Yankee","King Daddy",35,"Quiere mambo, suenalo","Coro","Daddy Yankee"
"Daddy Yankee","King Daddy",36,"Da-ddy!","Coro","Daddy Yankee"
