"artist","track_title","line","lyric","element","element_artist"
"Daddy Yankee","Dale Caliente",1,NA,"Letra de ""Dale Caliente""","Daddy Yankee"
"Daddy Yankee","Dale Caliente",2,NA,"Intro","Daddy Yankee, Blacka Nice"
"Daddy Yankee","Dale Caliente",3,NA,"Ah, [?","Daddy Yankee"
"Daddy Yankee","Dale Caliente",4,"Hey, Daddy Yankee, what you say?","?] Daddy Yankee and Blacka Nice again","Daddy Yankee"
"Daddy Yankee","Dale Caliente",5,"More fire! (Brra, brra, brra)","?] Daddy Yankee and Blacka Nice again","Daddy Yankee"
"Daddy Yankee","Dale Caliente",6,"Hotter than lava","?] Daddy Yankee and Blacka Nice again","Daddy Yankee"
"Daddy Yankee","Dale Caliente",7,"Daddy! Come on!","?] Daddy Yankee and Blacka Nice again","Daddy Yankee"
"Daddy Yankee","Dale Caliente",8,"Ven y huele, mi candela","?] Daddy Yankee and Blacka Nice again","Daddy Yankee"
"Daddy Yankee","Dale Caliente",9,"Mira esa morena como activa esa suela","?] Daddy Yankee and Blacka Nice again","Daddy Yankee"
"Daddy Yankee","Dale Caliente",10,"Más candela, mueve esa tela","?] Daddy Yankee and Blacka Nice again","Daddy Yankee"
"Daddy Yankee","Dale Caliente",11,"Mi rumba se cuela pa' la piel quemartela","?] Daddy Yankee and Blacka Nice again","Daddy Yankee"
"Daddy Yankee","Dale Caliente",12,"Ven y huele, mi candela","?] Daddy Yankee and Blacka Nice again","Daddy Yankee"
"Daddy Yankee","Dale Caliente",13,"Mira esa morena como activa esa suela","?] Daddy Yankee and Blacka Nice again","Daddy Yankee"
"Daddy Yankee","Dale Caliente",14,"Más candela, mueve esa tela (More fire!)","?] Daddy Yankee and Blacka Nice again","Daddy Yankee"
"Daddy Yankee","Dale Caliente",15,"Mi rumba se cuela pa' la piel quemartela (Brra, brra, brra)","?] Daddy Yankee and Blacka Nice again","Daddy Yankee"
"Daddy Yankee","Dale Caliente",16,"¿¡Que!? ¿¡Que!?","?] Daddy Yankee and Blacka Nice again","Daddy Yankee"
